,character,role,movie,line,line_sw,line_sw_stem
0,tony stark,hero,iron man,oh i get it you guys aren’t allowed to talk is that it are you not allowed to talk,oh get guys aren’t allowed talk allowed talk,oh get guy aren’t allow talk allow talk
2,tony stark,hero,iron man,oh i see so it’s personal,oh see it’s personal,oh see it’ person
4,tony stark,hero,iron man,good god you’re a woman i honestly i couldn’t have called that i would apologize but isn’t that what we’re going for here i saw you as a soldier first,good god you’re woman honestly couldn’t called would apologize isn’t we’re going saw soldier first,good god you’r woman honestli couldn’t call would apolog isn’t we’r go saw soldier first
6,tony stark,hero,iron man,please,please,pleas
8,tony stark,hero,iron man,excellent question yes and no march and i had a schedule conflict but thankfully the christmas cover was twins anyone else you with the hand up,excellent question yes march schedule conflict thankfully christmas cover twins anyone else hand,excel question ye march schedul conflict thank christma cover twin anyon els hand
10,tony stark,hero,iron man,join the club,join club,join club
12,tony stark,hero,iron man,are you aware that native americans believe photographs steal a little piece of your soul not to worry mine’s long gone fire away,aware native americans believe photographs steal little piece soul worry mine’s long gone fire away,awar nativ american believ photograph steal littl piec soul worri mine’ long gone fire away
14,james rhodes,hero,iron man,get down tony get the,get tony get,get toni get
16,james rhodes,hero,iron man,as program manager and liaison to stark industries i’ve had the honor of serving with a real patriot a man whose life has been dedicated to protecting our troops on the front lines he’s a friend and a great mentor a man who has always been there for his friends and his country ladies and gentlemen this year’s ares award winner mr tony stark,program manager liaison stark industries i’ve honor serving real patriot man whose life dedicated protecting troops front lines he’s friend great mentor man always friends country ladies gentlemen year’s ares award winner mr tony stark,program manag liaison stark industri i’v honor serv real patriot man whose life dedic protect troop front line he’ friend great mentor man alway friend countri ladi gentlemen year’ are award winner mr toni stark
17,obadiah stane,villain,iron man,thank you i uhhh i’m not tony stark but if i were tony i’d tell you how honored i am and what a joy it is to receive this award the best thing about tony is also the worst thing he’s always working,thank uhhh i’m tony stark tony i’d tell honored joy receive award best thing tony also worst thing he’s always working,thank uhhh i’m toni stark toni i’d tell honor joy receiv award best thing toni also worst thing he’ alway work
18,tony stark,hero,iron man,you think we’re having a moment’ here but this is actually the logical conclusion of several mathematical truisms your hypothalamus is flooding your system with a chain of proteins called peptides so that every cell in your body is opening itself up to the happy chemical oxytocin,think we’re moment’ actually logical conclusion several mathematical truisms hypothalamus flooding system chain proteins called peptides every cell body opening happy chemical oxytocin,think we’r moment’ actual logic conclus sever mathemat truism hypothalamu flood system chain protein call peptid everi cell bodi open happi chemic oxytocin
20,tony stark,hero,iron man,hold on a second so now your limbic system is positively throbbing a kirlian photograph of us right now occupying this space would show serious subatomic particles being exchanged between us with a rapidity that transcends are you getting this you will be quizzed my god what are you they roped you into this thing too,hold second limbic system positively throbbing kirlian photograph us right occupying space would show serious subatomic particles exchanged us rapidity transcends getting quizzed god roped thing,hold second limbic system posit throb kirlian photograph us right occupi space would show seriou subatom particl exchang us rapid transcend get quizz god rope thing
21,james rhodes,hero,iron man,yeah they said you’d be deeply honored if i presented,yeah said you’d deeply honored presented,yeah said you’d deepli honor present
